Latitude (decimal degrees):	28.482
Longitude (decimal degrees):	-16.306
Elevation (m):	503
Radiation database:	PVGIS-SARAH3


Slope: 26 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	5.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230607:0109,0.0,0.0,0.0,21.62,1.52,0.0
20230607:0209,0.0,0.0,0.0,21.54,0.76,0.0
20230607:0309,0.0,0.0,0.0,21.55,0.14,0.0
20230607:0409,0.0,0.0,0.0,21.6,0.48,0.0
20230607:0509,0.0,0.0,0.0,21.52,1.66,0.0
20230607:0609,0.0,0.0,0.0,21.51,2.9,0.0
20230607:0709,218.25,76.97,11.7,21.45,3.79,0.0
20230607:0809,915.5,256.14,24.33,21.43,4.21,0.0
20230607:0909,1430.8,363.77,37.27,21.46,4.62,0.0
20230607:1009,1328.65,340.42,50.4,21.97,3.45,0.0
20230607:1109,521.95,144.84,63.57,22.03,4.34,0.0
20230607:1209,1601.25,407.01,76.4,22.41,4.76,0.0
20230607:1309,1185.9,307.92,84.15,22.89,2.83,0.0
20230607:1409,3128.3,806.76,74.24,22.77,3.03,0.0
20230607:1509,3016.5,755.98,61.28,22.3,5.45,0.0
20230607:1609,2550.45,632.61,48.11,22.01,6.34,0.0
20230607:1709,1481.55,377.94,35.0,21.91,5.93,0.0
20230607:1809,713.8,204.82,22.11,21.92,5.24,0.0
20230607:1909,155.35,53.78,9.55,21.93,4.83,0.0
20230607:2009,0.0,0.0,0.0,21.84,5.17,0.0
20230607:2109,0.0,0.0,0.0,21.83,5.72,0.0
20230607:2209,0.0,0.0,0.0,21.76,4.76,0.0
20230607:2309,0.0,0.0,0.0,21.69,4.76,0.0
20230608:0009,0.0,0.0,0.0,21.49,4.9,0.0
20230608:0109,0.0,0.0,0.0,21.19,4.9,0.0
20230608:0209,0.0,0.0,0.0,20.98,4.97,0.0
20230608:0309,0.0,0.0,0.0,20.85,4.9,0.0
20230608:0409,0.0,0.0,0.0,20.84,4.97,0.0
20230608:0509,0.0,0.0,0.0,20.8,5.1,0.0
20230608:0609,0.0,0.0,0.0,20.83,5.52,0.0
20230608:0709,235.65,76.41,11.71,20.85,5.59,0.0
20230608:0809,726.1,195.62,24.32,20.93,5.52,0.0
20230608:0909,1849.75,465.51,37.26,21.08,5.38,0.0
20230608:1009,2443.35,613.16,50.38,21.08,3.86,0.0
20230608:1109,2727.7,688.34,63.55,21.11,3.86,0.0
20230608:1209,2656.9,667.93,76.4,21.11,4.83,0.0
20230608:1309,3302.8,829.96,84.25,21.09,5.66,0.0
20230608:1409,1704.45,428.03,74.32,21.11,6.07,0.0
20230608:1509,2974.45,740.21,61.35,21.17,6.0,0.0
20230608:1609,2001.5,499.16,48.18,21.13,5.79,0.0
20230608:1709,1088.2,279.76,35.07,21.05,5.66,0.0
20230608:1809,547.95,151.82,22.18,20.99,5.38,0.0
20230608:1909,181.15,60.27,9.63,20.92,5.1,0.0
20230608:2009,0.0,0.0,0.0,20.89,4.9,0.0
20230608:2109,0.0,0.0,0.0,20.91,4.34,0.0
20230608:2209,0.0,0.0,0.0,21.05,1.86,0.0
20230608:2309,0.0,0.0,0.0,21.07,1.72,0.0
20230609:0009,0.0,0.0,0.0,21.0,1.86,0.0
20230609:0109,0.0,0.0,0.0,20.89,1.93,0.0
20230609:0209,0.0,0.0,0.0,20.79,2.0,0.0
20230609:0309,0.0,0.0,0.0,20.68,2.07,0.0
20230609:0409,0.0,0.0,0.0,20.59,2.48,0.0
20230609:0509,0.0,0.0,0.0,20.42,2.97,0.0
20230609:0609,0.0,0.0,0.0,20.33,3.45,0.0
20230609:0709,225.0,78.35,11.71,20.23,3.79,0.0
20230609:0809,861.45,233.66,24.32,20.33,4.14,0.0
20230609:0909,1494.8,378.46,37.25,20.48,4.14,0.0
20230609:1009,1838.9,464.81,50.37,20.62,2.83,0.0
20230609:1109,1033.65,267.62,63.54,20.6,2.83,0.0
20230609:1209,1530.5,388.65,76.4,20.6,3.24,0.0
20230609:1309,725.7,192.8,84.34,20.59,4.07,0.0
20230609:1409,798.4,210.07,74.39,20.66,4.55,0.0
20230609:1509,955.15,247.48,61.42,20.64,4.69,0.0
20230609:1609,1061.2,272.91,48.24,20.64,4.48,0.0
20230609:1709,954.95,247.81,35.14,20.6,4.28,0.0
20230609:1809,651.9,179.88,22.26,20.61,3.86,0.0
20230609:1909,163.35,55.63,9.71,20.61,3.24,0.0
20230609:2009,0.0,0.0,0.0,20.64,2.69,0.0
20230609:2109,0.0,0.0,0.0,20.68,2.0,0.0
20230609:2209,0.0,0.0,0.0,20.62,0.62,0.0
20230609:2309,0.0,0.0,0.0,20.65,0.69,0.0
20230610:0009,0.0,0.0,0.0,20.64,0.76,0.0
20230610:0109,0.0,0.0,0.0,20.56,1.1,0.0
20230610:0209,0.0,0.0,0.0,20.45,1.52,0.0
20230610:0309,0.0,0.0,0.0,20.35,2.07,0.0
20230610:0409,0.0,0.0,0.0,20.26,2.55,0.0
20230610:0509,0.0,0.0,0.0,20.14,2.62,0.0
20230610:0609,0.0,0.0,0.0,20.07,2.48,0.0
20230610:0709,149.2,65.94,11.7,20.09,2.21,0.0
20230610:0809,952.95,272.63,24.31,20.23,1.86,0.0
20230610:0909,1837.0,469.78,37.23,20.29,1.79,0.0
20230610:1009,2655.65,685.75,50.35,20.34,0.83,0.0
20230610:1109,2753.6,707.01,63.52,20.3,1.72,0.0
20230610:1209,3209.7,827.01,76.4,20.21,2.28,0.0
20230610:1309,3597.4,928.84,84.43,20.16,2.69,0.0
20230610:1409,3484.95,892.74,74.46,20.18,2.97,0.0
20230610:1509,3156.2,798.13,61.49,20.22,3.24,0.0
20230610:1609,2395.15,601.21,48.31,20.27,3.17,0.0
20230610:1709,1707.35,438.43,35.21,20.37,2.62,0.0
20230610:1809,743.2,216.88,22.33,20.44,2.0,0.0
20230610:1909,177.5,59.34,9.79,20.49,1.72,0.0
20230610:2009,0.0,0.0,0.0,20.57,1.79,0.0
20230610:2109,0.0,0.0,0.0,20.7,1.59,0.0
20230610:2209,0.0,0.0,0.0,20.54,1.31,0.0
20230610:2309,0.0,0.0,0.0,20.62,1.24,0.0
20230611:0009,0.0,0.0,0.0,20.65,0.83,0.0
20230611:0109,0.0,0.0,0.0,20.61,0.48,0.0
20230611:0209,0.0,0.0,0.0,20.58,0.55,0.0
20230611:0309,0.0,0.0,0.0,20.57,1.66,0.0
20230611:0409,0.0,0.0,0.0,20.54,2.83,0.0
20230611:0509,0.0,0.0,0.0,20.51,3.24,0.0
20230611:0609,0.0,0.0,0.0,20.33,2.97,0.0
20230611:0709,140.1,64.54,11.69,20.3,2.41,0.0
20230611:0809,959.0,274.25,24.29,20.02,2.14,0.0
20230611:0909,1999.7,510.17,37.22,20.06,2.14,0.0
20230611:1009,2831.05,730.46,50.33,21.44,1.45,0.0
20230611:1109,3449.5,899.06,63.5,21.3,1.86,0.0
20230611:1209,3780.2,986.0,76.39,21.08,2.48,0.0
20230611:1309,3915.25,1016.16,84.51,20.91,3.03,0.0
20230611:1409,3751.85,966.31,74.53,20.89,3.17,0.0
20230611:1509,3328.75,849.3,61.55,20.98,2.97,0.0
20230611:1609,2567.9,648.9,48.37,21.1,2.83,0.0
20230611:1709,1778.4,458.71,35.28,21.25,2.76,0.0
20230611:1809,739.75,225.97,22.4,21.35,2.83,0.0
20230611:1909,148.6,51.92,9.86,21.35,2.69,0.0
20230611:2009,0.0,0.0,0.0,21.38,2.62,0.0
20230611:2109,0.0,0.0,0.0,21.55,2.34,0.0
20230611:2209,0.0,0.0,0.0,21.6,1.79,0.0
20230611:2309,0.0,0.0,0.0,21.68,1.72,0.0
20230612:0009,0.0,0.0,0.0,21.68,1.17,0.0
20230612:0109,0.0,0.0,0.0,21.63,0.97,0.0
20230612:0209,0.0,0.0,0.0,21.52,1.24,0.0
20230612:0309,0.0,0.0,0.0,21.46,1.79,0.0
20230612:0409,0.0,0.0,0.0,21.38,2.41,0.0
20230612:0509,0.0,0.0,0.0,21.33,2.48,0.0
20230612:0609,0.0,0.0,0.0,21.32,2.21,0.0
20230612:0709,142.25,64.66,11.68,21.32,2.41,0.0
20230612:0809,943.85,271.12,24.28,21.49,2.76,0.0
20230612:0909,0.0,0.0,0.0,21.65,2.76,0.0
20230612:1009,2479.95,640.46,50.31,21.75,1.17,0.0
20230612:1109,2795.35,722.76,63.48,21.57,1.72,0.0
20230612:1209,2932.8,757.21,76.38,21.35,2.21,0.0
20230612:1309,2842.55,730.31,84.58,21.27,2.55,0.0
20230612:1409,2843.3,725.89,74.6,21.28,3.03,0.0
20230612:1509,651.05,175.54,61.61,21.36,4.07,0.0
20230612:1609,616.15,166.9,48.44,21.43,5.38,0.0
20230612:1709,632.65,170.56,35.34,21.33,6.62,0.0
20230612:1809,470.35,132.22,22.46,21.35,7.17,0.0
20230612:1909,184.55,61.19,9.93,21.29,6.83,0.0
20230612:2009,0.0,0.0,0.0,21.2,6.48,0.0
20230612:2109,0.0,0.0,0.0,21.07,6.07,0.0
20230612:2209,0.0,0.0,0.0,21.01,3.59,0.0
20230612:2309,0.0,0.0,0.0,21.0,3.31,0.0
20230613:0009,0.0,0.0,0.0,20.92,3.52,0.0
20230613:0109,0.0,0.0,0.0,20.8,3.59,0.0
20230613:0209,0.0,0.0,0.0,20.66,3.59,0.0
20230613:0309,0.0,0.0,0.0,20.59,3.38,0.0
20230613:0409,0.0,0.0,0.0,20.54,3.52,0.0
20230613:0509,0.0,0.0,0.0,20.58,3.72,0.0
20230613:0609,0.0,0.0,0.0,20.44,4.21,0.0
20230613:0709,127.55,62.05,11.67,20.31,4.62,0.0
20230613:0809,920.8,253.02,24.26,20.21,5.17,0.0
20230613:0909,1473.05,371.02,37.17,20.11,5.45,0.0
20230613:1009,2319.45,576.82,50.28,20.5,5.1,0.0
20230613:1109,3563.7,891.27,63.45,20.44,5.17,0.0
20230613:1209,3884.4,976.33,76.37,20.4,5.52,0.0
20230613:1309,4038.35,1016.36,84.65,20.32,5.72,0.0
20230613:1409,3858.3,966.63,74.67,20.27,5.72,0.0
20230613:1509,3436.75,854.87,61.68,20.32,5.52,0.0
20230613:1609,2752.5,681.61,48.5,20.44,5.31,0.0
20230613:1709,1830.75,464.87,35.41,20.57,5.31,0.0
20230613:1809,759.9,230.36,22.53,20.67,5.38,0.0
20230613:1909,131.8,47.29,10.0,20.74,5.52,0.0
20230613:2009,0.0,0.0,0.0,20.8,5.59,0.0
20230613:2109,0.0,0.0,0.0,20.87,5.38,0.0
20230613:2209,0.0,0.0,0.0,21.0,5.1,0.0
20230613:2309,0.0,0.0,0.0,20.89,4.28,0.0
20230614:0009,0.0,0.0,0.0,20.72,3.86,0.0
20230614:0109,0.0,0.0,0.0,20.53,4.0,0.0
20230614:0209,0.0,0.0,0.0,20.33,4.21,0.0
20230614:0309,0.0,0.0,0.0,20.18,4.48,0.0
20230614:0409,0.0,0.0,0.0,20.06,4.69,0.0
20230614:0509,0.0,0.0,0.0,19.95,4.76,0.0
20230614:0609,0.0,0.0,0.0,19.88,4.83,0.0
20230614:0709,141.2,63.86,11.65,19.89,4.9,0.0
20230614:0809,952.1,269.72,24.23,19.98,5.1,0.0
20230614:0909,2008.35,504.18,37.14,20.14,5.03,0.0
20230614:1009,2909.7,725.1,50.25,20.45,4.41,0.0
20230614:1109,3480.85,876.21,63.43,20.63,4.41,0.0
20230614:1209,3873.45,984.06,76.35,20.75,4.55,0.0
20230614:1309,4004.75,1019.73,84.71,20.77,4.69,0.0
20230614:1409,3795.6,960.27,74.73,20.82,4.83,0.0
20230614:1509,3423.15,858.21,61.74,20.83,4.83,0.0
20230614:1609,2794.0,696.49,48.56,20.87,4.62,0.0
20230614:1709,1848.9,472.08,35.47,20.89,4.34,0.0
20230614:1809,755.4,212.19,22.59,20.87,4.48,0.0
20230614:1909,192.0,63.05,10.06,20.86,4.76,0.0
20230614:2009,0.0,0.0,0.0,20.93,4.97,0.0
20230614:2109,0.0,0.0,0.0,21.05,5.1,0.0
20230614:2209,0.0,0.0,0.0,21.18,4.62,0.0
20230614:2309,0.0,0.0,0.0,21.2,4.0,0.0
20230615:0009,0.0,0.0,0.0,21.14,3.59,0.0
20230615:0109,0.0,0.0,0.0,21.05,3.79,0.0
20230615:0209,0.0,0.0,0.0,20.98,4.07,0.0
20230615:0309,0.0,0.0,0.0,20.94,4.34,0.0
20230615:0409,0.0,0.0,0.0,20.89,4.62,0.0
20230615:0509,0.0,0.0,0.0,20.86,4.83,0.0
20230615:0609,0.0,0.0,0.0,20.83,4.76,0.0
20230615:0709,136.8,62.7,11.63,20.84,4.62,0.0
20230615:0809,930.8,264.31,24.21,20.87,4.34,0.0
20230615:0909,1968.95,498.15,37.11,20.87,4.14,0.0
20230615:1009,2880.3,724.08,50.22,20.76,3.45,0.0
20230615:1109,3443.9,871.9,63.39,20.75,3.79,0.0
20230615:1209,3801.0,964.53,76.32,20.72,4.48,0.0
20230615:1309,4018.9,1019.79,84.76,20.68,4.97,0.0
20230615:1409,3803.3,955.96,74.79,20.68,5.45,0.0
20230615:1509,3431.1,854.06,61.79,20.71,5.66,0.0
20230615:1609,2716.75,672.49,48.62,20.8,5.66,0.0
20230615:1709,1778.3,451.64,35.53,20.88,5.52,0.0
20230615:1809,761.6,230.95,22.65,20.94,5.24,0.0
20230615:1909,138.55,49.14,10.13,20.98,5.1,0.0
20230615:2009,0.0,0.0,0.0,20.95,4.83,0.0
20230615:2109,0.0,0.0,0.0,20.99,4.62,0.0
20230615:2209,0.0,0.0,0.0,21.12,3.31,0.0
20230615:2309,0.0,0.0,0.0,21.18,2.28,0.0
20230616:0009,0.0,0.0,0.0,21.14,2.62,0.0
20230616:0109,0.0,0.0,0.0,21.12,3.45,0.0
20230616:0209,0.0,0.0,0.0,21.09,4.14,0.0
20230616:0309,0.0,0.0,0.0,21.01,4.48,0.0
20230616:0409,0.0,0.0,0.0,20.95,4.62,0.0
20230616:0509,0.0,0.0,0.0,20.91,4.55,0.0
20230616:0609,0.0,0.0,0.0,20.88,4.48,0.0
20230616:0709,128.4,61.06,11.6,20.92,4.21,0.0
20230616:0809,946.55,271.36,24.18,20.97,4.07,0.0
20230616:0909,1984.1,502.98,37.08,21.01,3.93,0.0
20230616:1009,2877.2,724.81,50.19,21.01,3.38,0.0
20230616:1109,3446.3,877.02,63.36,20.97,3.45,0.0
20230616:1209,3825.85,979.58,76.3,21.0,3.86,0.0
20230616:1309,3927.35,1005.46,84.81,20.98,4.14,0.0
20230616:1409,3786.1,962.25,74.85,20.97,4.41,0.0
20230616:1509,3358.05,843.24,61.85,20.99,4.62,0.0
20230616:1609,2694.2,670.34,48.68,21.05,4.97,0.0
20230616:1709,1796.75,457.4,35.59,21.15,5.17,0.0
20230616:1809,767.7,233.12,22.71,21.19,5.03,0.0
20230616:1909,134.9,48.21,10.19,21.22,4.76,0.0
20230616:2009,0.0,0.0,0.0,21.27,4.55,0.0
20230616:2109,0.0,0.0,0.0,21.35,4.34,0.0
20230616:2209,0.0,0.0,0.0,21.31,3.79,0.0
20230616:2309,0.0,0.0,0.0,21.26,3.1,0.0
20230617:0009,0.0,0.0,0.0,21.15,3.03,0.0
20230617:0109,0.0,0.0,0.0,21.09,3.24,0.0
20230617:0209,0.0,0.0,0.0,20.98,3.59,0.0
20230617:0309,0.0,0.0,0.0,20.88,3.72,0.0
20230617:0409,0.0,0.0,0.0,20.76,3.86,0.0
20230617:0509,0.0,0.0,0.0,20.67,3.72,0.0
20230617:0609,0.0,0.0,0.0,20.64,3.59,0.0
20230617:0709,134.45,61.86,11.57,20.65,3.38,0.0
20230617:0809,939.65,269.47,24.14,20.66,3.38,0.0
20230617:0909,1947.3,493.93,37.05,20.74,3.59,0.0
20230617:1009,2868.75,723.81,50.15,20.8,3.1,0.0
20230617:1109,3460.6,876.08,63.32,20.74,3.86,0.0
20230617:1209,3834.05,974.21,76.27,20.64,4.41,0.0
20230617:1309,3946.8,1000.15,84.85,20.57,4.97,0.0
20230617:1409,3809.65,956.99,74.91,20.67,5.59,0.0
20230617:1509,3402.8,847.59,61.91,20.81,5.66,0.0
20230617:1609,2696.35,668.56,48.73,20.92,5.52,0.0
20230617:1709,1818.35,462.31,35.64,21.02,5.31,0.0
20230617:1809,774.35,234.11,22.77,21.15,5.24,0.0
20230617:1909,141.85,50.07,10.24,21.28,5.03,0.0
20230617:2009,0.0,0.0,0.0,21.4,4.69,0.0
20230617:2109,0.0,0.0,0.0,21.54,4.69,0.0
20230617:2209,0.0,0.0,0.0,21.43,3.52,0.0
20230617:2309,0.0,0.0,0.0,21.41,3.38,0.0
20230618:0009,0.0,0.0,0.0,21.33,3.72,0.0
20230618:0109,0.0,0.0,0.0,21.25,4.14,0.0
20230618:0209,0.0,0.0,0.0,21.19,4.48,0.0
20230618:0309,0.0,0.0,0.0,21.09,4.48,0.0
20230618:0409,0.0,0.0,0.0,20.97,4.34,0.0
20230618:0509,0.0,0.0,0.0,20.91,4.41,0.0
20230618:0609,0.0,0.0,0.0,20.87,4.41,0.0
20230618:0709,138.6,61.91,11.54,20.86,4.34,0.0
20230618:0809,924.6,264.27,24.11,20.88,4.76,0.0
20230618:0909,1965.25,496.1,37.01,21.03,4.9,0.0
20230618:1009,2779.2,705.97,50.11,21.15,2.48,0.0
20230618:1109,3383.7,866.59,63.29,21.2,2.9,0.0
20230618:1209,3773.6,969.03,76.23,21.17,3.59,0.0
20230618:1309,3888.5,1000.36,84.88,21.15,3.72,0.0
20230618:1409,3699.8,947.52,74.97,21.19,3.66,0.0
20230618:1509,3306.7,836.08,61.96,21.16,3.86,0.0
20230618:1609,2648.15,662.58,48.79,21.15,4.14,0.0
20230618:1709,1789.9,456.87,35.7,21.21,4.48,0.0
20230618:1809,769.45,232.37,22.82,21.3,5.17,0.0
20230618:1909,148.75,51.92,10.3,21.45,5.79,0.0
20230618:2009,0.0,0.0,0.0,21.56,6.0,0.0
20230618:2109,0.0,0.0,0.0,21.67,5.86,0.0
20230618:2209,0.0,0.0,0.0,21.54,3.79,0.0
20230618:2309,0.0,0.0,0.0,21.51,3.66,0.0
20230619:0009,0.0,0.0,0.0,21.55,3.86,0.0
20230619:0109,0.0,0.0,0.0,21.59,4.0,0.0
20230619:0209,0.0,0.0,0.0,21.6,4.14,0.0
20230619:0309,0.0,0.0,0.0,21.6,4.14,0.0
20230619:0409,0.0,0.0,0.0,21.62,3.79,0.0
20230619:0509,0.0,0.0,0.0,21.7,3.59,0.0
20230619:0609,0.0,0.0,0.0,21.78,3.59,0.0
20230619:0709,153.05,64.2,11.51,21.86,3.59,0.0
20230619:0809,900.95,259.15,24.07,21.87,3.66,0.0
20230619:0909,1794.7,457.35,36.97,21.92,3.79,0.0
20230619:1009,2633.4,671.51,50.07,21.98,2.34,0.0
20230619:1109,1911.8,488.59,63.25,21.75,2.28,0.0
20230619:1209,1272.0,328.06,76.2,21.59,2.28,0.0
20230619:1309,603.85,164.98,84.9,21.67,2.21,0.0
20230619:1409,1652.8,423.09,75.02,21.65,2.34,0.0
20230619:1509,1506.95,385.05,62.01,21.58,2.83,0.0
20230619:1609,1524.7,387.81,48.84,21.6,3.45,0.0
20230619:1709,1377.55,352.71,35.75,21.61,4.21,0.0
20230619:1809,558.8,154.77,22.88,21.53,4.97,0.0
20230619:1909,195.05,63.97,10.35,21.51,5.45,0.0
20230619:2009,0.0,0.0,0.0,21.45,5.17,0.0
20230619:2109,0.0,0.0,0.0,21.48,4.28,0.0
20230619:2209,0.0,0.0,0.0,21.49,2.21,0.0
20230619:2309,0.0,0.0,0.0,21.46,2.0,0.0
20230620:0009,0.0,0.0,0.0,21.36,1.93,0.0
20230620:0109,0.0,0.0,0.0,21.17,2.62,0.0
20230620:0209,0.0,0.0,0.0,21.02,3.31,0.0
20230620:0309,0.0,0.0,0.0,20.97,3.93,0.0
20230620:0409,0.0,0.0,0.0,20.93,3.86,0.0
20230620:0509,0.0,0.0,0.0,20.91,3.45,0.0
20230620:0609,0.0,0.0,0.0,20.91,3.17,0.0
20230620:0709,149.05,63.08,11.47,20.86,2.83,0.0
20230620:0809,895.6,255.68,24.03,21.03,2.55,0.0
20230620:0909,1847.15,473.12,36.93,21.24,2.41,0.0
20230620:1009,2252.9,576.1,50.03,21.31,1.66,0.0
20230620:1109,3142.65,803.72,63.2,21.3,2.76,0.0
20230620:1209,3371.3,865.32,76.16,21.17,3.1,0.0
20230620:1309,2735.3,698.4,84.92,21.06,2.9,0.0
20230620:1409,1579.85,402.91,75.07,20.96,2.55,0.0
20230620:1509,1819.85,462.77,62.06,20.88,2.41,0.0
20230620:1609,1756.3,445.8,48.89,20.9,2.48,0.0
20230620:1709,1220.55,315.02,35.8,21.07,2.41,0.0
20230620:1809,329.6,97.84,22.93,21.27,2.34,0.0
20230620:1909,90.55,36.16,10.4,21.38,1.93,0.0
20230620:2009,0.0,0.0,0.0,21.56,1.59,0.0
20230620:2109,0.0,0.0,0.0,21.72,1.86,0.0
20230620:2209,0.0,0.0,0.0,22.02,1.59,0.0
20230620:2309,0.0,0.0,0.0,21.98,2.07,0.0
20230621:0009,0.0,0.0,0.0,21.89,2.55,0.0
20230621:0109,0.0,0.0,0.0,21.68,2.62,0.0
20230621:0209,0.0,0.0,0.0,21.65,2.41,0.0
20230621:0309,0.0,0.0,0.0,21.83,2.55,0.0
20230621:0409,0.0,0.0,0.0,21.85,2.83,0.0
20230621:0509,0.0,0.0,0.0,21.86,3.24,0.0
20230621:0609,0.0,0.0,0.0,21.71,3.59,0.0
20230621:0709,208.9,73.22,11.43,21.58,4.07,0.0
20230621:0809,839.65,231.13,23.99,21.62,4.28,0.0
20230621:0909,1784.5,452.35,36.88,21.6,4.69,0.0
20230621:1009,2508.15,629.1,49.98,21.74,4.28,0.0
20230621:1109,2246.55,566.56,63.16,21.75,4.21,0.0
20230621:1209,2977.4,753.99,76.12,21.76,4.41,0.0
20230621:1309,3475.2,882.51,84.93,21.76,4.76,0.0
20230621:1409,2958.0,746.75,75.11,21.83,4.83,0.0
20230621:1509,2881.05,723.82,62.11,21.9,4.9,0.0
20230621:1609,2375.4,594.23,48.94,21.91,4.97,0.0
20230621:1709,1670.55,426.36,35.85,21.83,4.9,0.0
20230621:1809,770.0,225.97,22.97,21.87,4.9,0.0
20230621:1909,158.85,54.7,10.45,21.96,4.76,0.0
20230621:2009,0.0,0.0,0.0,21.99,4.48,0.0
20230621:2109,0.0,0.0,0.0,22.0,4.07,0.0
20230621:2209,0.0,0.0,0.0,22.13,3.17,0.0
20230621:2309,0.0,0.0,0.0,22.1,3.03,0.0
20230622:0009,0.0,0.0,0.0,22.03,2.62,0.0
20230622:0109,0.0,0.0,0.0,21.97,2.41,0.0
20230622:0209,0.0,0.0,0.0,21.88,2.48,0.0
20230622:0309,0.0,0.0,0.0,21.79,2.76,0.0
20230622:0409,0.0,0.0,0.0,21.71,3.17,0.0
20230622:0509,0.0,0.0,0.0,21.63,3.52,0.0
20230622:0609,0.0,0.0,0.0,21.55,3.86,0.0
20230622:0709,120.75,57.4,11.38,21.6,4.28,0.0
20230622:0809,904.7,261.09,23.94,21.69,4.55,0.0
20230622:0909,1730.5,438.97,36.84,21.79,4.83,0.0
20230622:1009,2170.45,544.86,49.93,22.11,4.9,0.0
20230622:1109,2925.2,736.2,63.11,22.11,4.97,0.0
20230622:1209,3257.65,826.38,76.07,22.14,4.76,0.0
20230622:1309,3739.0,954.19,84.93,22.19,4.76,0.0
20230622:1409,3361.5,853.61,75.16,22.16,4.69,0.0
20230622:1509,3240.65,816.33,62.16,22.06,4.76,0.0
20230622:1609,2627.95,657.46,48.98,22.08,4.83,0.0
20230622:1709,1762.5,449.79,35.89,21.95,5.17,0.0
20230622:1809,777.5,232.88,23.02,21.81,5.79,0.0
20230622:1909,93.9,37.61,10.49,21.7,6.07,0.0
20230622:2009,0.0,0.0,0.0,21.52,6.21,0.0
20230622:2109,0.0,0.0,0.0,21.42,5.93,0.0
20230622:2209,0.0,0.0,0.0,21.5,4.48,0.0
20230622:2309,0.0,0.0,0.0,21.4,3.79,0.0
20230623:0009,0.0,0.0,0.0,21.39,3.72,0.0
20230623:0109,0.0,0.0,0.0,21.44,3.93,0.0
20230623:0209,0.0,0.0,0.0,21.46,4.14,0.0
20230623:0309,0.0,0.0,0.0,21.49,4.48,0.0
20230623:0409,0.0,0.0,0.0,21.54,4.69,0.0
20230623:0509,0.0,0.0,0.0,21.52,4.83,0.0
20230623:0609,0.0,0.0,0.0,21.51,5.03,0.0
20230623:0709,141.7,61.13,11.33,21.47,5.24,0.0
20230623:0809,884.45,245.35,23.89,21.42,5.45,0.0
20230623:0909,1798.55,454.47,36.79,21.41,5.31,0.0
20230623:1009,2222.9,557.14,49.89,21.6,4.69,0.0
20230623:1109,3296.15,830.09,63.06,21.62,4.76,0.0
20230623:1209,3757.9,954.12,76.02,21.64,4.9,0.0
20230623:1309,3877.75,985.54,84.93,21.72,5.17,0.0
20230623:1409,3769.65,954.1,75.2,21.83,5.31,0.0
20230623:1509,3394.3,851.15,62.2,21.88,5.45,0.0
20230623:1609,2678.05,666.2,49.02,21.92,5.79,0.0
20230623:1709,1794.1,456.06,35.94,21.93,6.21,0.0
20230623:1809,784.3,220.65,23.06,21.83,6.69,0.0
20230623:1909,170.2,58.03,10.53,21.74,6.97,0.0
20230623:2009,0.0,0.0,0.0,21.63,7.03,0.0
20230623:2109,0.0,0.0,0.0,21.51,6.9,0.0
20230623:2209,0.0,0.0,0.0,21.66,4.21,0.0
20230623:2309,0.0,0.0,0.0,21.58,4.28,0.0
20230624:0009,0.0,0.0,0.0,21.42,5.1,0.0
20230624:0109,0.0,0.0,0.0,21.22,6.0,0.0
20230624:0209,0.0,0.0,0.0,21.04,6.41,0.0
20230624:0309,0.0,0.0,0.0,20.91,6.62,0.0
20230624:0409,0.0,0.0,0.0,20.81,6.69,0.0
20230624:0509,0.0,0.0,0.0,20.72,6.9,0.0
20230624:0609,0.0,0.0,0.0,20.66,7.1,0.0
20230624:0709,161.8,64.56,11.28,20.59,7.24,0.0
20230624:0809,915.5,259.23,23.84,20.64,7.31,0.0
20230624:0909,1930.45,482.78,36.74,20.71,7.45,0.0
20230624:1009,2458.65,610.38,49.84,20.85,5.66,0.0
20230624:1109,3469.55,864.74,63.01,20.86,5.79,0.0
20230624:1209,3869.9,968.3,75.97,20.89,6.41,0.0
20230624:1309,3864.5,966.13,84.92,20.84,6.83,0.0
20230624:1409,3815.15,950.48,75.24,20.89,6.97,0.0
20230624:1509,3431.9,848.33,62.24,20.96,7.1,0.0
20230624:1609,2740.85,674.51,49.07,21.02,7.24,0.0
20230624:1709,1829.85,461.84,35.98,21.12,7.24,0.0
20230624:1809,799.2,237.52,23.1,21.12,7.45,0.0
20230624:1909,100.9,40.14,10.56,21.07,7.52,0.0
20230624:2009,0.0,0.0,0.0,21.03,7.66,0.0
20230624:2109,0.0,0.0,0.0,21.09,7.52,0.0
20230624:2209,0.0,0.0,0.0,21.54,6.14,0.0
20230624:2309,0.0,0.0,0.0,21.6,6.21,0.0
20230625:0009,0.0,0.0,0.0,21.58,6.69,0.0
20230625:0109,0.0,0.0,0.0,21.48,7.1,0.0
20230625:0209,0.0,0.0,0.0,21.44,7.1,0.0
20230625:0309,0.0,0.0,0.0,21.48,6.9,0.0
20230625:0409,0.0,0.0,0.0,21.46,6.48,0.0
20230625:0509,0.0,0.0,0.0,21.48,6.21,0.0
20230625:0609,0.0,0.0,0.0,21.54,5.93,0.0
20230625:0709,224.1,74.7,11.23,21.57,5.79,0.0
20230625:0809,905.85,260.72,23.79,21.65,5.86,0.0
20230625:0909,1708.8,431.82,36.68,21.79,6.07,0.0
